case_id,issue_type,symptom,topology_note,show_outputs,expected_fault,osi_layer,concept,severity
CASE011,DHCP,"PC has IP address but DNS server information is missing","Clients obtain addresses from router DHCP","ipconfig /all: DNS Servers field is empty","DHCP pool does not provide a DNS server option","Layer 7","DHCP options","Medium"
CASE012,DNS,"PC can ping a web server by IP but not by hostname","DNS server is located at 192.168.50.10","nslookup: DNS request timed out","DNS server is unreachable or unavailable","Layer 7","DNS resolution","High"
CASE013,DNS,"Only one hostname fails while other domains resolve","Client uses DNS server 192.168.50.10","nslookup internal.example.com: NXDOMAIN","DNS record for the requested hostname is missing","Layer 7","DNS records","Medium"
CASE014,DNS,"Clients cannot resolve any hostnames after DNS server change","Network recently migrated to a new DNS server","ipconfig /all: DNS Server 192.168.60.10; ping 192.168.60.10 fails","Client cannot reach the configured DNS server","Layer 7","DNS connectivity","High"
CASE015,Routing,"PC can reach its gateway but not a remote LAN","R1 connects 192.168.10.0/24 to R2 192.168.20.0/24","show ip route: no route to 192.168.20.0/24","R1 is missing a route to the remote network","Layer 3","Static routing","High"
CASE016,Routing,"Remote network is reachable from one router but not from another","R1 and R2 connected through serial link","show ip route: route exists on R1 but missing on R2","Return route is missing on R2","Layer 3","Routing table","High"
CASE017,Routing,"OSPF neighbors are not forming","R1 and R2 share network 10.0.0.0/30","show ip ospf neighbor: no neighbors","OSPF configuration does not include the connecting network","Layer 3","OSPF","High"
CASE018,Routing,"Traffic follows an unexpected path","Three routers use OSPF","show ip route: unexpected next hop selected","Routing metric or route preference causes a different path","Layer 3","Dynamic routing","Medium"
CASE019,Routing,"Default route is configured but internet network remains unreachable","R1 connects internal LAN to ISP router","show ip route: no 0.0.0.0/0 entry","Default route is missing","Layer 3","Default routing","High"
CASE020,ACL,"PC can ping gateway but cannot access application server","ACL applied inbound on router interface","show access-lists: deny tcp any host 192.168.40.10 eq 443","ACL explicitly blocks HTTPS traffic","Layer 4","Access Control List","High"
CASE021,ACL,"Guest users can access internal server","Guest VLAN should only access the internet","show access-lists: no deny statement for internal subnet","Guest isolation ACL rule is missing","Layer 3/4","Network segmentation","Critical"
CASE022,ACL,"SSH access to router is blocked for administrators","Management subnet is 192.168.99.0/24","show access-lists: deny ip 192.168.99.0 0.0.0.255 any","ACL blocks the management subnet","Layer 4","Management ACL","High"
CASE023,ACL,"Web application works but ping fails","ACL is applied between client and server","show access-lists: deny icmp any any","ICMP is blocked by ACL while TCP traffic remains allowed","Layer 3","ICMP filtering","Medium"
CASE024,NAT,"Internal PC can reach gateway but cannot reach internet","Inside LAN uses private 192.168.10.0/24 addresses","show ip nat translations: empty; show ip nat statistics: inside local translations 0","NAT configuration is missing or not applied","Layer 3","NAT/PAT","Critical"
CASE025,NAT,"Only one internal host can access the internet","Multiple PCs share one public IP","show ip nat translations: only one inside local address translated","PAT overload is not configured correctly","Layer 3","PAT overload","High"
CASE026,NAT,"NAT translations exist but internet replies never return","R1 performs NAT toward ISP","show ip nat translations: translations present; show ip route: missing default route","Router lacks a route toward the ISP","Layer 3","NAT with routing","High"
CASE027,Wireless,"Wireless clients connect to Wi-Fi but receive no IP address","Access point connects to switch VLAN 50","show vlan brief: VLAN 50 missing on switch","Wireless client VLAN is not configured on the switch","Layer 2","Wireless VLAN","High"
CASE028,Wireless,"Guest Wi-Fi connects but cannot reach the internet","Guest SSID mapped to VLAN 60","show interfaces trunk: VLAN 60 not allowed","Guest VLAN is not carried across the trunk","Layer 2","SSID/VLAN mapping","High"
CASE029,Wireless,"Wireless client repeatedly disconnects","Access point serves several clients on same channel","show controller/AP status: channel overlap detected","Wireless channel interference is causing instability","Layer 1/2","Wireless interference","Medium"
CASE030,Wireless,"Wireless client connects but cannot reach internal resources","Corporate SSID should provide access to internal VLAN 70","show wlan configuration: SSID mapped to guest VLAN 60","Corporate SSID is mapped to the wrong VLAN","Layer 2","SSID segmentation","High"
